"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"368","1.49653902494655e-14","0","0","0","0","0","6.01178124171221e-14","0","0","1.3789362872122e-14"
"369","0","0","0","2.45111860410837","2.45111860410837","0","0","4.78745718894981e-15","0","0"
"370","0","0","0","0.196088085735965","0.196088085735965","0","0","0","0","0.123951580694835"
"371","3.00075294227618e-15","0","0","0","0","0","1.19987328891143e-14","0","0","3.0116385951405e-15"
"372","1.41945247521235e-16","7.93700281660906e-16","0","0","0","0","9.56968833236095e-16","0","0","0"
"373","0","0","0","0","0","0.624009898288317","0","0.624009898288311","0.312004949144158","0"
"374","0","0","0","8.18916258147048e-15","0","0","0","1.20380515016037e-14","0","1.21174534996529e-14"
"375","0","0","1.48214551984605e-16","1.54889305231412e-16","0","0","2.15365445159248e-14","0","0","0"
"376","0","0","0","1.16961464471445e-15","0","1.49570487567502e-15","4.0183367411271e-15","0","0","0"
"377","0","0","0","0","0","0","0","0","0","0"
"378","0","0","0","0","0","0","0","0","0","0"
"379","0","9.19997120296162","0","1.83999424059232","0","0","0","0","1.83999424059233","0"
"380","0","0","0","0","0","0","1.73534693655844e-14","7.85760679640815e-15","0","6.31716967687601e-15"
"381","0.430142608384997","0","0","0","0","0","0","0","0.430142608384997","0.430142608384997"
"382","0","0","2.13148434819388e-15","0","0","0","0","0","2.09123314490381e-15","3.33188983366562e-15"
"383","0","0","3.57105930944496e-15","0","0","0","1.06658275132802e-14","0","0","6.46433433955851e-15"
"384","1.01292661236571e-14","0","0","0","0","0","4.3392836668004e-14","0","9.57631611075963e-15","0"
"385","0","0","0","0","0.613891388815465","0","0","2.39332050627045e-15","0","2.43718410811934e-15"
