"","Aa","Ad","Ca","Mea","Med","AaAa","AaAd","AdAd","CaAa","CaAd"
"226","-9.84579882128097","0","-0.154201178719023","0","0","0","0","0","0","0.154201178719023"
"227","0","0","-6.23293370956074e-18","0","0","0","0","-5","0","0"
"228","0","0","0","0","-5","5","0","0","0","5"
"229","0","-1.71554952687884","0","0","-1.71554952687884","0","0","0","0","1.71554952687884"
"230","0","0","0","3.71781004792348","0","-2.43562009584694","0","0","0","-3.71781004792348"
"231","-5","0","0","-5","0","0","0","-5","0","0"
"232","0","0","0","0","-5","-5","0","0","0","5"
"233","0","0","0","0","0","-5","0","0","-5","5"
"234","0","4.99999999999998","0","0","0","0","5","5.00000000000001","0","0"
"235","4.99999999999999","0","0","5","0","0","-4.99999999999999","0","0","0"
"236","-5","-5","0","0","-4.81083594845766","0","0","0","0","0"
"237","0","0","0","5","0","0","-4.99999999999999","0","-5","0"
"238","4.99999999999999","0","0","0","0","4.99999999999999","0","0","5","0"
"239","0","-4.4480479340947","0","0","0","0","0","-4.99999999999998","0","4.44804793409467"
"240","-4.90759860429213","0","0","0","0","0","-5","0","4.90759860429213","0"
"241","0","-5.00000000000005","0","5","0","0","0","5.00000000000004","0","0"
"242","-5","0","0","0","0","-5","0","0","-5","0"
"243","0","0","0","0","10","0","0","-5","0","0"
"244","0","0","4.53013065213232","0","0","0","0","0","4.53013065213232","-4.53013065213232"
"245","0","5","0","-4.63022128151921","0","-5.00000000000002","0","0","0","0"
"246","5","-5","0","0","0","0","-5.00000000000001","0","0","0"
"247","0","0","-4.99999999999999","0","0","0","-5","0","0","-5.00000000000001"
"248","0","0","0","0","7.50000000000002","0","0","0","7.50000000000002","0"
"249","-5","0","0","0","0","0","5.00000000000001","0","0","-5"
"250","-5","0","-4.88396138152928","0","0","5","0","0","0","0"
"251","0","0","5.67974630665125","4.32025369334874","0","0","0","0","-4.99999999999999","0"
"252","-5","0","0","5","0","0","-5","0","0","0"
"253","4.99999999999999","-4.99999999999999","5","0","0","0","0","0","0","0"
"254","0","0","0","0","0","0","5.00000000000001","-5.00000000000001","0","5"
"255","0","0","1.32780130422316e-15","0","2.87324463116321e-16","0","-4.99999999999998","0","0","0"
"256","0","-4.99999999999999","0","0","5","0","5","0","0","0"
"257","0","-5","-2.63646679605067","-7.36353320394934","0","0","0","0","0","0"
"258","0","5.00000000000002","0","0","0","0","0","5","0","5.00000000000001"
"259","0","0","0","0","4.99999999999999","0","-4.99999999999999","4.99999999999999","0","0"
"260","0","0","0","0","0","-5","5.00000000000001","0","5","0"
"261","4.44070837915643","0","-4.44070837915643","0","0","0","0","0","0","-5.55929162084357"
"262","0","-5.00000000000002","5","0","0","0","0","5.00000000000002","0","0"
"263","0","4.65162971359813","4.65162971359814","0","0","0","0","0","-5.34837028640187","0"
"264","0","0","0","0","2.41790543793452","-5.00000000000001","-4.99999999999999","0","0","0"
"265","-5","-4.99999999999999","0","0","0","0","0","0","0","-5"
"266","0","0","0","0","5","-5.00000000000001","-5","0","0","0"
"267","0","0","0.474258731775667","9.52574126822433","0","0","-5","0","0","0"
"268","0","0","0","0","5","0","5","0","5.00000000000001","0"
"269","0","0","-8.31691470124962e-17","0","1.00313695300739e-17","0","0","0","0","5.00000000000001"
"270","0","4.99999999999998","0","0","0","0","0","-4.99999999999999","-5","0"
"271","0","-5.00000000000002","0","0","0","0","5","5.00000000000001","0","0"
"272","0","0.118578245339329","0","0","0","0","0","0","0.118578245339328","-0.118578245339329"
"273","0","0","0","0","-2.07971994382732","0","0","-10.8405601123454","-2.07971994382732","0"
"274","0","-4.68957754107416","0","-4.52914425166655","-4.52914425166655","0","0","0","0","0"
"275","0","5","8.17813638050042e-17","1.4100239348408e-17","0","0","0","0","0","0"
"276","0","0","-9.56153206348251","-0.438467936517495","0","0","0","0","-5.00000000000001","0"
"277","-5","0","-5","0","0","-5","0","0","0","0"
"278","0","0","0","3.31229395100268","-6.68770604899733","0","0","0","2.79521245660868","0"
"279","0","0","0","-5","0","0","0","5","0","-5"
"280","0","0","0","0","0","0","-4.99999999999999","0","-5","5"
"281","-4.77921656813557","0","0","0","0","0","-4.99999999999998","0","4.77921656813556","0"
"282","4.71696245415629","-4.71696245415627","0","0","0","0","0","4.99999999999997","0","0"
"283","0","0","0","-4.70264676106333","5.29735323893666","0","0","0","0","4.91410856863028"
"284","0","4.99999999999997","0","0","0","0","5","5.00000000000002","0","0"
"285","5","0","0","0","0","0","0","5","5","0"
"286","0","0","0","0","0","0","5.00000000000001","0","0","4.01213126405454"
"287","0","0","-0.976903006348336","-9.02309699365166","0","0","0","-5","0","0"
"288","0","2.85946062084008","4.36347725091588","0","0","-5.85621575166398","0","0","0","0"
"289","0","-4.79260695855025","0","0","5","0","0","0","-4.79260695855025","0"
"290","0","5.00000000000004","0","0","0","0","-5","4.99999999999997","0","0"
"291","-5","0","0","0","4.86603537244028","5","0","0","0","0"
"292","4.99999999999999","0","0","0","0","0","0","-4.99999999999999","0","-4.99999999999999"
"293","5","0","-5","0","0","-5","0","0","0","0"
"294","-4.83000290145817","4.83000290145817","0","0","0","0","0","0","-5.16999709854183","0"
"295","0","0","0","-4.90155083126642","0","-5.00000000000002","0","0","5.00000000000001","0"
"296","0","0","0","-5","0","0","0","4.99999999999999","-5","0"
"297","0","0","0","1.48064338186059","0","0","0","5","0","-5"
"298","5","0","0","0","0","0","0","5","5","0"
"299","0","5","0","0","4.77014136162449","0","5","0","0","0"
"300","0","0","-3.52753866732603","0","0","0","0","4.99999999999999","0","-4.99999999999999"
"301","0","-2.62477243669973","-2.62477243669973","0","0","0","0","0","7.37522756330028","0"
"302","0","17.5","0","0","0","0","0","0","0","0"
"303","0","0","0","0","5.00000000000001","0","-4.99999999999998","0","0","-5"
"304","4.67855729710041","0","0","0","0","0","4.99999999999998","0","-4.6785572971004","0"
"305","0","5","0","5","0","0","-4.99999999999999","0","0","0"
"306","0","5.48434965426109","-4.51565034573891","0","0","0","0","0","0","-5.48434965426108"
"307","0.310315734263546","-0.310315734263546","9.68968426573645","0","0","0","0","0","0","0"
"308","5.00000000000001","0","0","-5","0","0","4.99999999999998","0","0","0"
"309","0","5","0","4.70783442356763","0","0","0","0","-5.00000000000001","0"
"310","0","0","5","0","0","0","0","5","0","-4.99999999999999"
"311","0","-6.53318962681114","3.46681037318885","0","0","0","0","0","3.46681037318885","0"
"312","0","0","0","0","0","0","0","5","0","0"
"313","0","0","-0.317119180889628","0","0.317119180889628","0","5","0","0","0"
"314","0","0","5","0","0","5","0","0","0","-5"
"315","5","0","0","0","0","0","0","-5","-5.00000000000001","0"
"316","0","4.99999999999999","0","0","0","-5","-5","0","0","0"
"317","0","-5.00000000000003","0","5","0","0","0","5.00000000000003","0","0"
"318","-4.63843550079416","4.63843550079416","-4.85198014333852","0","0","0","0","0","0","0"
"319","3.56775264322329","0","0","-0.903168156247645","-0.903168156247645","0","0","0","0","0"
"320","0","0","0","0","0","4.99999999999998","-5.00000000000001","0","5","0"
"321","0","0","0","0","-5","-5","4.99999999999999","0","0","0"
"322","-5","0","0","-5","0","0","-5.00000000000001","0","0","0"
"323","0","0","0","0","-5","5.00000000000001","5","0","0","0"
"324","0","0","0","4.4154737597091","0","0","-5.00000000000001","0","0","4.99999999999999"
"325","4.85457395307475","-4.85457395307473","0","0","0","0","0","-5.00000000000001","0","0"
"326","0","0","0","0","0","-4.99999999999999","-5","0","0","-5"
"327","10","0","0","0","0","0","0","0","0","0"
"328","0","-5.00000000000002","5","0","0","0","0","5.00000000000001","0","0"
"329","0","0","0","0","0","-4.46644032327659","0","0","0","0"
"330","5","0","0","0","0","0","5","-5","0","0"
"331","0","0","0","0","7.37596232121293e-17","0","0","0","0","-5"
"332","0","0","0","-5","0","-5.00000000000001","0","0","5","0"
"333","5","0","0","0","5","0","0","-5","0","0"
"334","0","0","-2.10997774387184","-7.78868881994147","0","0","0","0","0","4.8986665638133"
"335","-8.11229665600928","-1.88770334399073","0","0","0","0","0","0","0","-8.11229665600928"
"336","5.00000000000001","0","0","5","0","0","4.99999999999999","0","0","0"
"337","-5","0","0","0","-5","0","0","5","0","0"
"338","5","0","0","0","0","0","-5","0","0","5"
"339","0","0","-5","0","0","-4.99999999999999","0","0","0","-5"
"340","0","0","0","-6.57623849573428","3.42376150426572","0","5","0","0","0"
"341","0","0","-10","0","0","0","0","0","-5","0"
"342","0","8.30049502284531","0","0","5.66009900456906","0","0","0","-4.33990099543095","0"
"343","0","0","5","0","0","0","-5","0","-5","0"
"344","-3.8360484975938","0","3.8360484975938","0","0","0","0","-5","0","0"
"345","6.51276643436536","3.48723356563464","3.48723356563464","0","0","0","0","0","0","0"
"346","0","0","-5","0","0","-5","0","0","5","0"
"347","0","0","-5","-5","0","0","0","-5","0","0"
"348","0","0","0","0","0","0","0","5","0","0"
"349","-5","0","-3.97339664233555","0","0","0","0","-5","0","0"
"350","0","0","0","0","-5","0","0","5","0","5"
"351","0","5","0","0","0","0","4.99999999999999","0","0","5"
"352","0","0","0","0","-0.129779972777566","0","0","0","-0.129779972777566","-5.16630688400993"
"353","0","0","4.4435253003967","0","0","0","-4.99999999999999","0","-5","0"
"354","0","0","0","0","0","5.00000000000001","-4.99999999999999","0","-5.00000000000001","0"
"355","0","0","0","-5","0","0","0","5","0","5"
"356","0","-5","0","0","0","0","-5","0","-5","0"
"357","-5","0","0","0","-5","-5","0","0","0","0"
"358","0","0","0","0","0","4.99999999999999","4.99999999999999","0","5","0"
"359","0","0","0","0","-2.35873145804059","10.2825370839188","0","0","7.64126854195941","0"
"360","0","-4.92344015374047","0","-0.175573597289459","-0.175573597289459","0","0","0","0","0"
"361","0","-3.18208048861695","0","0","-4.63641609772339","5.72716780455324","0","0","0","0"
"362","0","15","0","0","0","0","0","0","0","0"
"363","5","0","0","5","0","0","0","0","-5","0"
"364","0","0","4.81969032015991","5.18030967984009","0","0","0","0","0","5"
"365","0","0","0","4.41591935791743","4.41591935791743","0","0","5","0","0"
"366","5","0","0","0","-5","0","5","0","0","0"
"367","0","4.84063834347173","0","0","4.48229491671718","0","0","5.06374466261132","0","0"
"368","-5.00000000000002","0","0","0","0","0","-4.99999999999996","0","0","5"
"369","0","0","0","2.84957615726632","2.84957615726632","0","0","5","0","0"
"370","0","0","0","-0.100045878425988","-0.100045878425988","0","0","0","0","-5.06276364538379"
"371","-5","0","0","0","0","0","-4.99999999999999","0","0","-5"
"372","-5","-4.99999999999999","0","0","0","0","5","0","0","0"
"373","0","0","0","0","0","-9.66563506950714","0","-0.334364930492854","2.66718246524643","0"
"374","0","0","0","4.99999999999999","0","0","0","-4.99999999999999","0","5.00000000000001"
"375","0","0","-5.32758763491993e-17","-5.76309467447456e-17","0","0","5","0","0","0"
"376","0","0","0","-5","0","-5","-5","0","0","0"
"377","0","0","5","0","0","0","0","0","-5","-5"
"378","0","0","0","-10","0","0","0","5","0","0"
"379","0","13.9226443123514","0","1.21547113752972","0","0","0","0","-1.21547113752972","0"
"380","0","0","0","0","0","0","-5","5","0","-4.99999999999999"
"381","5.22521572912123","0","0","0","0","0","0","0","4.77478427087879","-4.77478427087878"
"382","0","0","-5","0","0","0","0","0","5","5"
"383","0","0","-5","0","0","0","-5.00000000000001","0","0","-5"
"384","5","0","0","0","0","0","-4.99999999999998","0","4.99999999999999","0"
"385","0","0","0","0","0.328532402276899","0","0","5","0","5"
"386","-5","0","0","0","0","0","0","-5","0","-5"
"387","0","4.99999999999999","0","0","0","0","-4.99999999999999","0","5","0"
"388","-5.00000000000001","0","5","0","0","0","0","0","0","5"
"389","0","0","0","0","-5","-5","4.99999999999999","0","0","0"
"390","0","-5.00000000000002","0","0","0","0","-5","5.00000000000001","0","0"
"391","0","0","0","0","-2.91996232022416","0","0","0","-2.91996232022416","2.91996232022416"
